boro,gx,gy,lat,lon,total_count,early_count,recent_count,early_rate,recent_rate,rate_diff,years_active,years_ge3,precinct,loc_class,late_share,street_share,housing_share,recent_rank_boro,emerging_rank_boro,persistent_score,persistent_rank_boro,fading_rank_boro,view
BRONX,-6,32,40.81064530387097,-73.92525232193549,31,9,10,1.5,3.3333333333333335,1.8333333333333335,13,4,40,STREET,45.16129032258064,70.96774193548387,19.35483870967742,6.0,6.0,33.46573590279973,36.0,602.0,Emerging hotspots
BRONX,4,34,40.816105030769236,-73.89612557000001,13,3,6,0.5,2.0,1.5,10,1,41,STREET,38.46153846153847,84.61538461538461,0.0,15.0,8.0,23.63905732961526,163.0,600.0,Emerging hotspots
BRONX,9,58,40.869453934,-73.880184792,20,4,6,0.6666666666666666,2.0,1.3333333333333335,11,2,52,STREET,55.00000000000001,80.0,0.0,16.0,9.0,27.044522437723423,108.0,599.0,Emerging hotspots
BRONX,-5,32,40.81126719466667,-73.922542122,15,6,6,1.0,2.0,1.0,11,0,40,HOUSING,46.666666666666664,20.0,80.0,10.0,18.0,24.77258872223978,143.0,582.0,Emerging hotspots
BRONX,20,66,40.88712671354839,-73.84739631870968,31,10,8,1.6666666666666667,2.6666666666666665,0.9999999999999998,15,4,47,STREET,51.61290322580645,77.41935483870968,19.35483870967742,7.0,27.0,37.46573590279973,18.0,581.0,Emerging hotspots
BRONX,0,35,40.817427903749994,-73.90722848906249,32,8,6,1.3333333333333333,2.0,0.6666666666666667,17,5,40,HOUSING,50.0,15.625,84.375,12.0,38.0,42.49650756146648,5.0,569.0,Emerging hotspots
BRONX,-4,37,40.82218617780487,-73.91921600292682,41,11,7,1.8333333333333333,2.3333333333333335,0.5000000000000002,17,6,40,HOUSING,70.73170731707317,0.0,100.0,8.0,54.0,43.73766961828337,3.0,553.0,Emerging hotspots
BRONX,0,34,40.81583010193548,-73.90778465193549,31,11,7,1.8333333333333333,2.3333333333333335,0.5000000000000002,14,5,40,HOUSING,45.16129032258064,29.03225806451613,58.06451612903226,9.0,55.0,36.46573590279973,23.0,554.0,Emerging hotspots
BRONX,-3,39,40.82594632846154,-73.91681778,26,9,6,1.5,2.0,0.5,14,3,44,STREET,61.53846153846154,80.76923076923077,3.8461538461538463,11.0,57.0,34.29583686600433,34.0,533.0,Emerging hotspots
BRONX,1,51,40.85376774777777,-73.90458075037039,27,9,6,1.5,2.0,0.5,17,2,46,STREET,51.85185185185185,85.18518518518519,0.0,14.0,61.0,39.3322045101752,15.0,537.0,Emerging hotspots
BRONX,0,43,40.835242176428565,-73.90818461571429,28,10,6,1.6666666666666667,2.0,0.33333333333333326,15,4,42,HOUSING,60.71428571428571,35.714285714285715,57.14285714285714,13.0,111.0,37.367295829986475,21.0,496.0,Emerging hotspots
BRONX,-5,34,40.81455622558139,-73.92256885139535,43,23,5,3.8333333333333335,1.6666666666666667,-2.166666666666667,17,8,40,HOUSING,67.44186046511628,18.6046511627907,76.74418604651163,18.0,604.0,45.78418963391826,1.0,4.0,Persistent hotspots
BRONX,9,47,40.84434926823529,-73.8806572014706,34,12,5,2.0,1.6666666666666667,-0.33333333333333326,17,7,48,STREET,67.64705882352942,85.29411764705883,0.0,28.0,351.0,44.55534806148941,2.0,261.0,Persistent hotspots
BRONX,-4,37,40.82218617780487,-73.91921600292682,41,11,7,1.8333333333333333,2.3333333333333335,0.5000000000000002,17,6,40,HOUSING,70.73170731707317,0.0,100.0,8.0,54.0,43.73766961828337,3.0,553.0,Persistent hotspots
